"id_field","cd_tab","tablename","fieldname","example","regex_reco","typeof","unit","max_char","min_num","max_num","unique","mandatory","extra","regex_field","ref_table","ref_field","lev_ref","comment"
89,1,"metadata","plot","YaviT1P3","^plot$","varchar","NA",50,"NA","NA","TRUE","TRUE","FALSE","^[A-Za-z0-9_]+$","NA","NA","NA","NA"
90,1,"metadata","register_date","diciembre/01/2014","^register_date$;^registerDate$","varchar","NA",18,"NA","NA","FALSE","TRUE","FALSE","^[A-Za-z]+/[0-9]{1,2}/[0-9]{4};^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$","NA","NA","NA","NA"
91,1,"metadata","latitude","5.09","^latitude(_dec)?$","double precision","ºdec","NA","NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
92,1,"metadata","longitude","-74.77","^longitude(_dec)?$","double precision","ºdec","NA","NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
93,1,"metadata","altitude","322","^altitude(_m)?$","integer","m","NA",-100,8000,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
94,1,"metadata","area","1","^area(_ha)?$","double precision","ha","NA",0,100,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
176,1,"metadata","area_type","Projected horizontal surface","^area_?[tT]ype$","varchar","NA",30,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
177,1,"metadata","plot_type","Permantent, Temporal","^plot_?[tT]ype$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
178,1,"metadata","shape_type","square","^shape_?[Tt]ype$","varchar","NA",15,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
98,1,"metadata","length","100","^length(_m)?$","integer","m","NA",0,10000,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
99,1,"metadata","width","100","^width(_m)?$","integer","m","NA",0,10000,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
179,1,"metadata","subplot_area","0.01","^subplot_area(_ha)?$;^subplotArea(_ha)?$","double precision","ha","NA",0,10,"FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
101,1,"metadata","region","Magdalena river valley","^region$","varchar","NA",30,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
102,1,"metadata","ecosystem","tropical dry forests","^ecosystem$","varchar","NA",20,"NA","NA","FALSE","TRUE","FALSE",,"NA","NA","NA","NA"
