"id_field","cd_tab","tablename","fieldname","example","regex_reco","typeof","unit","max_char","min_num","max_num","mandatory","extra","regex_field","ref_table","ref_field","comment"
1,1,"metadata","comments","high disturbed landscape",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
2,1,"metadata","fragmentSize_ha","730",,"integer","ha","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
3,1,"metadata","nearestAnthropogenicEdge_m","20",,"integer","m","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
4,1,"metadata","generalSlope_deg",">20",,"varchar","deg",6,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
5,1,"metadata","forestAge_yrs",">100",,"varchar","yr",6,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
6,1,"metadata","forestStatus","Old-growth ",,"varchar","NA",15,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
7,1,"metadata","substrateGeology","Pleistocene",,"varchar","NA",15,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
8,1,"metadata","forestComposition"," Mixed forest",,"varchar","NA",15,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
9,1,"metadata","terrainType","Lowland",,"varchar","NA",15,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
10,1,"metadata","province","Armero",,"varchar","NA",15,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
11,1,"metadata","country","Colombia",,"varchar","NA",10,"NA","NA","FALSE","FALSE",,"NA","NA","NA"
12,1,"metadata","state","Tolima",,"varchar","NA",15,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
13,1,"metadata","location_type","Private area",,"varchar","NA",30,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
14,1,"metadata","location_name","Cattle Ranch El Cardonal",,"varchar","NA",30,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
15,1,"metadata","ecosystem","tropical dry forests",,"varchar","NA",20,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
16,1,"metadata","region","Magdalena river valley",,"varchar","NA",20,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
17,1,"metadata","subplot_area_ha","0.01",,"double precision","ha","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
18,1,"metadata","width_m","100",,"integer","m","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
19,1,"metadata","length_m","100",,"integer","m","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
20,1,"metadata","shape_type","square",,"varchar","NA",15,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
21,1,"metadata","plot_type","Permantent, Temporal",,"varchar","NA",15,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
22,1,"metadata","area_type","Projected horizontal surface",,"varchar","NA",27,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
23,1,"metadata","area_ha","1",,"double precision","ha","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
24,1,"metadata","altitude_m","322",,"integer","m","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
25,1,"metadata","longitude_dec","-74.77",,"double precision","degdec","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
26,1,"metadata","latitude_dec","5.09",,"double precision","degdec","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
27,1,"metadata","register_date","diciembre/01/2014",,"varchar","NA",18,"NA","NA","TRUE","FALSE","^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$;^[A-Za-z]/[0-9]{1,4}/[0-9]{1,4}$","NA","NA","NA"
28,1,"metadata","plot","YaviT1P3",,"varchar","NA",50,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
29,2,"dates","comments","sampling period under dry conditios ",,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
30,2,"dates","eventDate","diciembre/01/2014",,"varchar","NA",18,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
31,2,"dates","measuringType","census0,  census1, traits sampling",,"varchar","NA",18,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
32,3,"census0","comments","Vachellia, no-leaves, … palosangre, "" """,,"text","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
33,3,"census0","height_m","10.02, 22.58, … i",,"double precision","m","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
34,3,"census0","POM_m","130,  NA, …, 130",,"integer","m","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
35,3,"census0","DBH_cm","10.02, 2.58, … i",,"double precision","cm","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
36,3,"census0","ramet","1, 2, …, n",,"integer","NA","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
37,3,"census0","subplot","1, 2, …, n",,"integer","NA","NA","NA","NA","FALSE","FALSE",,"NA","NA","NA"
38,3,"census0","code","Achanigr, Ident, Morfs1, …, "" """,,"varchar","NA",8,"NA","NA","TRUE","FALSE",,"NA","NA","NA"
39,3,"census0","tag","1, 1a, A1, …, na",,"text","NA","NA","NA","NA","TRUE","FALSE",,"NA","NA","NA"
