table,field,recoField,dataType,example,optimalCharacters,typeof,maxChar,minNum,maxNum,mandatory,includedFormat,regex
metadata,plot,^plot$,character,YaviT1P3,,character,50,,,T,,
metadata,registerDate,,date,diciembre/01/2014,character–max18,character,18,,,T,,"^([0-9]{1,4})/([0-9]{1,2})/([0-9]{1,4})$"
metadata,latitude_dec,,numeric,5.09,numeric,double,,,,T,,
metadata,longitude_dec,,numeric,-74.77,numeric,double,,,,T,,
metadata,altitude_m,,numeric,322,integer,integer,,,,T,,
metadata,area_ha,,numeric,1,numeric,double,,,,T,,
metadata,areaType,,character,Projected horizontal surface,character–max27,character,27,,,T,,
metadata,plotType,,character,"Permantent, Temporal",character–max15,character,15,,,T,,
metadata,shapeType,,character,square,character–max15,character,15,,,T,,
metadata,length_m,,numeric,100,integer,integer,,,,T,,
metadata,width_m,,numeric,100,integer,integer,,,,T,,
metadata,subplotArea_ha,,numeric,0.01,numeric,double,,,,T,,
metadata,region,,character,Magdalena river valley,character-max20,character,20,,,T,,
metadata,ecosystem,,character,tropical dry forests,character-max20,character,20,,,T,,
metadata,locationName,,character,Cattle Ranch El Cardonal,character-max30,character,30,,,T,,
metadata,locationType,,character,Private area,character-max30,character,30,,,T,,
metadata,state,,character,Tolima,character–max15,character,15,,,T,,
metadata,country,,character,Colombia,character–max10,character,10,,,T,,
metadata,province,,character,Armero,character–max15,character,15,,,T,,
metadata,terrainType,,character,Lowland,character–max15,character,15,,,T,,
metadata,forestComposition,,character, Mixed forest,character–max15,character,15,,,T,,
metadata,substrateGeology,,character,Pleistocene,character–max15,character,15,,,F,,
metadata,forestStatus,,character,Old-growth ,character–max15,character,15,,,T,,
metadata,forestAge_yrs,,character,>100,character–max6,character,6,,,F,,
metadata,generalSlope_deg,,character,>20,character–max6,character,6,,,F,,
metadata,nearestAnthropogenicEdge_m,,numeric,20,integer,integer,,,,F,,
metadata,fragmentSize_ha,,numeric,730,integer,integer,,,,F,,
metadata,comments,,character,high disturbed landscape,character-unlimited,character,,,,F,,
dates,measuringType,,character,"census0,  census1, traits sampling",character–max18,character,18,,,T,,
dates,eventDate,,date,diciembre/01/2014,character–max18,character,18,,,T,,
dates,comments,,character,sampling period under dry conditios ,character-unlimited,character,,,,F,,
census0,tag,,"character, numeric","1, 1a, A1, …, na",alpha.numeric–unique,character,,,,,,
census0,code,,character,"Achanigr, Ident, Morfs1, …, "" """,character–8,character,8,,,,,
census0,subplot,,"character, numeric","1, 2, …, n",integer,integer,,,,,,
census0,ramet,,"character, integer","1, 2, …, n",integer,integer,,,,,,
census0,DBH_cm,,numeric,"10.02, 2.58, … i",numeric,double,,,,,,
census0,POM_m,,numeric,"130,  NA, …, 130",integer,integer,,,,,,
census0,height_m,,numeric,"10.02, 22.58, … i",numeric,double,,,,,,
census0,comments,,character,"Vachellia, no-leaves, … palosangre, "" """,character-unlimited,character,,,,,,
xy,tag,,"character, numeric","1, 1a, A1, …, na",alpha.numeric–unique,character,,,,,,
xy,individualX_m,,numeric,0.5,numeric,double,,,,,,
xy,individualY_m,,numeric,1.5,numeric,double,,,,,,
xy,comments,,character,moved five metres from the base,character-unlimited,character,,,,,,
aliveStatus,tag,,"character, numeric","1, 1a, A1, …, na",alpha.numeric–unique,character,,,,,,
aliveStatus,aliveStatus,,character,"alive, dead, NA, "" """,character–max8,character,8,,,,,
aliveStatus,comments,,character,tree was not found,character-unlimited,character,,,,,,
growth,tag,,"character, numeric","1, 1a, A1, …, na",alpha.numeric–unique,character,,,,,,
growth,DBH_cm,,numeric,"11.12, 3.58, … i",numeric,double,,,,,,
growth,POM_cm,,numeric,"130,  NA, …, 130",integer,integer,,,,,,
growth,aliveStatus,,character,alive,character–max10,character,10,,,,,
growth,comments,,character,tree is alive but defoliated,character-unlimited,character,,,,,,
mortality,tag,,"character, numeric","4, 4a, A4, …, na",alpha.numeric–unique,character,,,,,,
mortality,mechanismOfMortality,,character,"standing, broken, uprooted, …, unknown",character–max30,character,30,,,,,
mortality,mortalityType,,character,"died alone, unknown, died alone, …,  unknown ",character–max30,character,30,,,,,
mortality,killerProcess,,character,"burnt, burnt, killed by liana, …, unknown  ",character–max30,character,30,,,,,
mortality,comments,,character,there is not totally clear if the tree is dead,character-unlimited,character,,,,,,
recruitment,tag,,"character, numeric","1000, 1000a, A1000, …, na",alpha.numeric–unique,character,,,,,,
recruitment,code,,character,"Achanigr, Ident2, Morfs1, …, "" """,character–max8,character,8,,,,,
recruitment,subplot,,numeric,"1, 2, …, n",integer,integer,,,,,,
